scope_type,scope_id,floor,development_level,encounter_count,battles,player_wins,enemy_wins,draws,player_win_rate,player_score_rate,win_ci95_low,win_ci95_high,average_rounds,round_limit_count,effect_limit_hits,exceptions
ChapterMap,F1,1,C2,3,1800,684,967,149,0.38,0.421389,0.357855,0.402656,1.202778,0,0,0
ChapterOfficial,F1,1,C2,3,1800,684,967,149,0.38,0.421389,0.357855,0.402656,1.202778,0,0,0
C4Route,Adventure,1,C4,1,600,52,445,103,0.086667,0.1725,0.066702,0.11189,1.475,0,0,0
C4Route,Aggressive,1,C4,1,600,5,559,36,0.008333,0.038333,0.003565,0.019358,1.343333,0,0,0
C4Route,Conservative,1,C4,1,600,251,234,115,0.418333,0.514167,0.379505,0.458201,1.776667,0,0,0
ChapterMap,F1,1,C4,4,2400,677,1387,336,0.282083,0.352083,0.264439,0.300425,1.5675,0,0,0
ChapterOfficial,F1,1,C4,5,3000,811,1698,491,0.270333,0.352167,0.254742,0.286512,1.579,0,0,0
Event,f1_c4_event_ambush_encounter,1,C4,1,600,134,311,155,0.223333,0.3525,0.191828,0.258359,1.625,0,0,0
Boss,f1_c6_boss_encounter,1,C5,1,600,15,564,21,0.025,0.0425,0.015208,0.040836,1.485,0,0,0
ChapterMap,F1,1,C5,3,1800,949,708,143,0.527222,0.566944,0.504125,0.550204,1.309444,0,0,0
ChapterOfficial,F1,1,C5,3,1800,949,708,143,0.527222,0.566944,0.504125,0.550204,1.309444,0,0,0
ChapterMap,F2,2,C2,3,1800,1674,37,89,0.93,0.954722,0.917274,0.940894,1.203889,0,0,0
ChapterOfficial,F2,2,C2,3,1800,1674,37,89,0.93,0.954722,0.917274,0.940894,1.203889,0,0,0
C4Route,Adventure,2,C4,1,600,589,0,11,0.981667,0.990833,0.967472,0.989733,1.181667,0,0,0
C4Route,Aggressive,2,C4,1,600,481,62,57,0.801667,0.849167,0.767886,0.831609,1.303333,0,0,0
C4Route,Conservative,2,C4,1,600,598,0,2,0.996667,0.998333,0.987929,0.999085,1.241667,0,0,0
ChapterMap,F2,2,C4,4,2400,2263,63,74,0.942917,0.958333,0.932907,0.95151,1.245417,0,0,0
ChapterOfficial,F2,2,C4,5,3000,2858,63,79,0.952667,0.965833,0.944472,0.959704,1.233,0,0,0
Event,f2_c4_event_ambush_encounter,2,C4,1,600,595,0,5,0.991667,0.995833,0.980642,0.996435,1.183333,0,0,0
Boss,f2_c6_boss_encounter,2,C5,1,600,200,281,119,0.333333,0.4325,0.296779,0.372008,1.393333,0,0,0
ChapterMap,F2,2,C5,3,1800,1374,284,142,0.763333,0.802778,0.74315,0.782395,1.320556,0,0,0
ChapterOfficial,F2,2,C5,3,1800,1374,284,142,0.763333,0.802778,0.74315,0.782395,1.320556,0,0,0
ChapterMap,F3,3,C2,3,1800,3,1774,23,0.001667,0.008056,0.000567,0.004889,1.791667,0,0,0
ChapterOfficial,F3,3,C2,3,1800,3,1774,23,0.001667,0.008056,0.000567,0.004889,1.791667,0,0,0
C4Route,Adventure,3,C4,1,600,55,439,106,0.091667,0.18,0.071103,0.117426,1.945,0,0,0
C4Route,Aggressive,3,C4,1,600,0,600,0,0,0,0,0.006362,1.436667,0,0,0
C4Route,Conservative,3,C4,1,600,121,289,190,0.201667,0.36,0.171505,0.235624,1.975,0,0,0
ChapterMap,F3,3,C4,4,2400,176,1925,299,0.073333,0.135625,0.063572,0.084458,1.789583,0,0,0
ChapterOfficial,F3,3,C4,5,3000,176,2525,299,0.058667,0.1085,0.050808,0.067654,1.756,0,0,0
Event,f3_c4_event_ambush_encounter,3,C4,1,600,0,600,0,0,0,0,0.006362,1.621667,0,0,0
Boss,f3_c6_boss_encounter,3,C5,1,600,57,449,94,0.095,0.173333,0.074048,0.121105,1.97,0,0,0
ChapterMap,F3,3,C5,3,1800,178,1295,327,0.098889,0.189722,0.085941,0.113545,1.901667,0,0,0
ChapterOfficial,F3,3,C5,3,1800,178,1295,327,0.098889,0.189722,0.085941,0.113545,1.901667,0,0,0
