buildA,buildB,developmentLevel,battles,aWins,bWins,draws,aScoreRate,aDecisiveWinWilsonLow,aDecisiveWinWilsonHigh,roundLimitRate,mutualEliminationRate,medianRounds,p90Rounds,meanRound1RawDamageA,meanRound1RawDamageB,meanSurvivorsA,meanSurvivorsB,meanSummonFailuresA,meanSummonFailuresB,meanImmediateAttacksA,meanImmediateAttacksB,meanShieldBlocksA,meanShieldBlocksB,meanFurnaceTransfersA,meanFurnaceTransfersB,meanPermanentDeltaA,meanPermanentDeltaB,effectLimitHits,exceptions
B01_SHIELD,B02_BREAK,N,200,99,60,41,0.5975,0.545243,0.694254,0,0.205,2,3,83.625,104.095,0.82,0.41,0,0,0,0,7.41,6.345,2.99,2.745,2,5,0,0
B01_SHIELD,B03_SUMMON,N,200,200,0,0,1,0.981155,1,0,0,1,2,113.88,75.035,3.465,0,0,0,0,3.935,6.77,0,3,0,2,4.465,0,0
B01_SHIELD,B04_DEATH,N,200,200,0,0,1,0.981155,1,0,0,2,2,85.09,178.44,2.225,0,0,0,0,0,6.79,0,2.995,0,2,17.71,0,0
B01_SHIELD,B05_SPELL,N,200,186,2,12,0.96,0.962048,0.997078,0,0.06,2,2,85.59,119.965,1.715,0.01,0,0,0,0,7.325,2,2.985,0,2,0,0,0
B01_SHIELD,B06_REFRESH,N,200,200,0,0,1,0.981155,1,0,0,2,2,89.3,91.37,2.71,0,0,0,0,0,6.8,2,2.995,0,2,0,0,0
B02_BREAK,B03_SUMMON,N,200,200,0,0,1,0.981155,1,0,0,1,1,139.79,70.435,2.89,0,0,0,0,3.515,5.53,0,2.47,0,5,3.95,0,0
B02_BREAK,B04_DEATH,N,200,198,0,2,0.995,0.980968,1,0,0.01,2,2,91.12,154.45,2.495,0,0,0,0,0,5.65,0,2.7,0,5,16.09,0,0
B02_BREAK,B05_SPELL,N,200,184,3,13,0.9525,0.953902,0.994529,0,0.065,2,2,102.67,112.75,1.935,0.015,0,0,0,0,6.06,2,2.765,0,5,0,0,0
B02_BREAK,B06_REFRESH,N,200,200,0,0,1,0.981155,1,0,0,2,2,101.185,84.09,2.66,0,0,0,0,0,5.71,2,2.77,0,5,0,0,0
B03_SUMMON,B04_DEATH,N,200,0,200,0,0,0,0.018845,0,0,1,1,63.6,179.995,0,2.05,0,0,4.46,0,0,0,0,0,4.77,17.68,0,0
B03_SUMMON,B05_SPELL,N,200,0,200,0,0,0,0.018845,0,0,1,1,61.825,135.045,0,3.39,0,0,4.625,0,0,2,0,0,4.555,0,0,0
B03_SUMMON,B06_REFRESH,N,200,1,194,5,0.0175,0.000906,0.028472,0,0.025,1,1,71.815,111.715,0.005,1.955,0,0,4.1,0,0,1.95,0,0,4.42,0,0,0
B04_DEATH,B05_SPELL,N,200,31,95,74,0.34,0.179083,0.328008,0,0.37,1,2,159.665,97.695,0.155,0.585,0,0,0,0,0,2,0,0,17.53,0,0,0
B04_DEATH,B06_REFRESH,N,200,175,1,24,0.935,0.968523,0.998996,0,0.12,1,2,150.775,77.07,1.135,0.005,0,0,0,0,0,2,0,0,17.75,0,0,0
B05_SPELL,B06_REFRESH,N,200,197,0,3,0.9925,0.980873,1,0,0.015,1,2,112.485,85.095,2.12,0,0,0,0,0,2,2,0,0,0,0,0,0
