scope_type,scope_id,floor,development_level,encounter_count,battles,player_wins,enemy_wins,draws,player_win_rate,player_score_rate,win_ci95_low,win_ci95_high,average_rounds,round_limit_count,effect_limit_hits,exceptions
ChapterMap,F1,1,C2,3,1800,1335,222,243,0.741667,0.809167,0.720946,0.761358,1.29,0,0,0
ChapterOfficial,F1,1,C2,3,1800,1335,222,243,0.741667,0.809167,0.720946,0.761358,1.29,0,0,0
C4Route,Adventure,1,C4,1,600,53,303,244,0.088333,0.291667,0.068167,0.113738,1.611667,0,0,0
C4Route,Aggressive,1,C4,1,600,45,331,224,0.075,0.261667,0.056522,0.098885,1.47,0,0,0
C4Route,Conservative,1,C4,1,600,336,126,138,0.56,0.675,0.520025,0.599212,1.791667,0,0,0
ChapterMap,F1,1,C4,4,2400,898,797,705,0.374167,0.521042,0.355022,0.393713,1.606667,0,0,0
ChapterOfficial,F1,1,C4,5,3000,1189,884,927,0.396333,0.550833,0.378973,0.413958,1.599,0,0,0
Event,f1_c4_event_ambush_encounter,1,C4,1,600,291,87,222,0.485,0.67,0.445233,0.524958,1.568333,0,0,0
Boss,f1_c6_boss_encounter,1,C5,1,600,15,564,21,0.025,0.0425,0.015208,0.040836,1.545,0,0,0
ChapterMap,F1,1,C5,3,1800,1085,619,96,0.602778,0.629444,0.579977,0.625141,1.363889,0,0,0
ChapterOfficial,F1,1,C5,3,1800,1085,619,96,0.602778,0.629444,0.579977,0.625141,1.363889,0,0,0
ChapterMap,F2,2,C2,3,1800,1674,37,89,0.93,0.954722,0.917274,0.940894,1.203889,0,0,0
ChapterOfficial,F2,2,C2,3,1800,1674,37,89,0.93,0.954722,0.917274,0.940894,1.203889,0,0,0
C4Route,Adventure,2,C4,1,600,589,0,11,0.981667,0.990833,0.967472,0.989733,1.181667,0,0,0
C4Route,Aggressive,2,C4,1,600,481,62,57,0.801667,0.849167,0.767886,0.831609,1.303333,0,0,0
C4Route,Conservative,2,C4,1,600,598,0,2,0.996667,0.998333,0.987929,0.999085,1.241667,0,0,0
ChapterMap,F2,2,C4,4,2400,2263,63,74,0.942917,0.958333,0.932907,0.95151,1.245417,0,0,0
ChapterOfficial,F2,2,C4,5,3000,2858,63,79,0.952667,0.965833,0.944472,0.959704,1.233,0,0,0
Event,f2_c4_event_ambush_encounter,2,C4,1,600,595,0,5,0.991667,0.995833,0.980642,0.996435,1.183333,0,0,0
Boss,f2_c6_boss_encounter,2,C5,1,600,200,281,119,0.333333,0.4325,0.296779,0.372008,1.393333,0,0,0
ChapterMap,F2,2,C5,3,1800,1374,284,142,0.763333,0.802778,0.74315,0.782395,1.320556,0,0,0
ChapterOfficial,F2,2,C5,3,1800,1374,284,142,0.763333,0.802778,0.74315,0.782395,1.320556,0,0,0
ChapterMap,F3,3,C2,3,1800,1410,158,232,0.783333,0.847778,0.763709,0.801751,1.595,0,0,0
ChapterOfficial,F3,3,C2,3,1800,1410,158,232,0.783333,0.847778,0.763709,0.801751,1.595,0,0,0
C4Route,Adventure,3,C4,1,600,71,395,134,0.118333,0.23,0.094884,0.146638,1.946667,0,0,0
C4Route,Aggressive,3,C4,1,600,26,546,28,0.043333,0.066667,0.029741,0.062736,1.876667,0,0,0
C4Route,Conservative,3,C4,1,600,153,256,191,0.255,0.414167,0.221759,0.291358,1.98,0,0,0
ChapterMap,F3,3,C4,4,2400,370,1535,495,0.154167,0.257292,0.140273,0.169165,1.93875,0,0,0
ChapterOfficial,F3,3,C4,5,3000,415,1983,602,0.138333,0.238667,0.126441,0.151151,1.936667,0,0,0
Event,f3_c4_event_ambush_encounter,3,C4,1,600,45,448,107,0.075,0.164167,0.056522,0.098885,1.928333,0,0,0
Boss,f3_c6_boss_encounter,3,C5,1,600,80,402,118,0.133333,0.231667,0.108453,0.162879,2.005,0,0,0
ChapterMap,F3,3,C5,3,1800,225,1221,354,0.125,0.223333,0.110516,0.141081,1.978333,0,0,0
ChapterOfficial,F3,3,C5,3,1800,225,1221,354,0.125,0.223333,0.110516,0.141081,1.978333,0,0,0
